Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
07:10.0,0 days 00:20:05.286000,3,351.6019444,0 days 00:05:16.065000,8476,91,2,52,FALSE,8,pos,11173.99712,0.312729818,OnTrack,-787,-282,571
07:10.1,0 days 00:20:05.370000,3,356.2408333,0 days 00:05:16.149000,8705,93,2,56,FALSE,8,car,11176.205,0.312791611,OnTrack,-765,-271,569
07:10.3,0 days 00:20:05.610000,3,366.8408333,0 days 00:05:16.389000,9545,103,2,70,FALSE,8,car,11183.07167,0.31298379,OnTrack,-725,-254,566
07:10.3,0 days 00:20:05.665000,3,371.1075,0 days 00:05:16.444000,9982,108,2,74,FALSE,8,pos,11184.80217,0.313032222,OnTrack,-713,-249,566
07:10.5,0 days 00:20:05.825000,3,375.3741667,0 days 00:05:16.604000,10420,113,2,79,FALSE,8,pos,11190.15248,0.313181963,OnTrack,-666,-230,563
07:10.6,0 days 00:20:05.930000,3,379.6408333,0 days 00:05:16.709000,10858,119,2,84,FALSE,8,car,11193.64944,0.313279834,OnTrack,-623,-215,560
07:10.8,0 days 00:20:06.125000,3,388.3075,0 days 00:05:16.904000,10084,115,2,42,FALSE,8,pos,11199.88772,0.313454426,OnTrack,-537,-188,556
07:11.0,0 days 00:20:06.330000,3,396.9741667,0 days 00:05:17.109000,9311,112,2,0,TRUE,8,car,11206.09389,0.31362812,OnTrack,-470,-172,553
07:11.2,0 days 00:20:06.525000,3,401.5852778,0 days 00:05:17.304000,9087,107,2,0,TRUE,8,pos,11211.67658,0.313784364,OnTrack,-418,-168,552
07:11.2,0 days 00:20:06.530000,3,406.1963889,0 days 00:05:17.309000,8863,103,2,0,TRUE,8,car,11211.81611,0.313788269,OnTrack,-416,-168,551
07:11.5,0 days 00:20:06.810000,3,419.8852778,0 days 00:05:17.589000,7901,97,2,0,TRUE,8,car,11219.36056,0.313999418,OnTrack,-343,-178,548
07:11.6,0 days 00:20:06.905000,3,429.2852778,0 days 00:05:17.684000,7860,93,2,0,TRUE,8,pos,11221.80251,0.314067761,OnTrack,-324,-183,547
07:11.9,0 days 00:20:07.170000,3,438.6852778,0 days 00:05:17.949000,7820,90,2,0,FALSE,8,car,11228.36056,0.314251303,OnTrack,-289,-199,545
07:11.9,0 days 00:20:07.265000,3,446.1519444,0 days 00:05:18.044000,7697,88,2,0,FALSE,8,pos,11230.65729,0.314315583,OnTrack,-275,-219,545
07:12.1,0 days 00:20:07.450000,3,453.6186111,0 days 00:05:18.229000,7574,86,2,0,FALSE,8,car,11235.04944,0.314438507,OnTrack,-237,-281,544
07:12.2,0 days 00:20:07.505000,3,462.4630556,0 days 00:05:18.284000,7405,84,2,3,FALSE,8,pos,11236.33262,0.31447442,OnTrack,-228,-298,545
07:12.5,0 days 00:20:07.770000,3,471.3075,0 days 00:05:18.549000,7236,83,2,7,FALSE,8,car,11242.42722,0.314644991,OnTrack,-211,-337,545
07:12.6,0 days 00:20:07.925000,3,476.8352778,0 days 00:05:18.704000,7469,83,2,18,FALSE,8,pos,11246.02367,0.314745646,OnTrack,-208,-361,545
07:12.7,0 days 00:20:07.970000,3,482.3630556,0 days 00:05:18.749000,7703,84,2,29,FALSE,8,car,11247.09389,0.314775598,OnTrack,-206,-370,544
07:12.9,0 days 00:20:08.245000,3,493.1408333,0 days 00:05:19.024000,8135,87,2,43,FALSE,8,pos,11253.97114,0.314968074,OnTrack,-192,-446,545
07:13.1,0 days 00:20:08.370000,3,503.9186111,0 days 00:05:19.149000,8568,91,2,57,FALSE,8,car,11257.205,0.315058581,OnTrack,-189,-471,544
07:13.1,0 days 00:20:08.465000,3,508.1186111,0 days 00:05:19.244000,8793,93,2,59,FALSE,8,pos,11259.68676,0.315128039,OnTrack,-188,-487,545
07:13.2,0 days 00:20:08.530000,3,512.3186111,0 days 00:05:19.309000,9018,95,2,61,FALSE,8,car,11261.42722,0.315176749,OnTrack,-187,-497,545
07:13.5,0 days 00:20:08.825000,3,520.2297222,0 days 00:05:19.604000,9561,100,2,70,FALSE,8,pos,11269.98635,0.315416296,OnTrack,-185,-560,545
07:13.5,0 days 00:20:08.850000,3,528.1408333,0 days 00:05:19.629000,10105,105,2,79,FALSE,8,car,11270.76056,0.315437964,OnTrack,-185,-570,544
07:13.7,0 days 00:20:09.025000,3,532.4248611,0 days 00:05:19.804000,10147,110,2,89,FALSE,8,pos,11276.38021,0.315595243,OnTrack,-186,-651,545
07:13.7,0 days 00:20:09.049000,3,536.7088889,0 days 00:05:19.828000,10189,116,2,100,FALSE,8,car,11277.17278,0.315617425,OnTrack,-186,-659,545
07:14.1,0 days 00:20:09.369000,3,543.3755556,0 days 00:05:20.148000,10932,126,3,100,FALSE,8,car,11288.37278,0.315930882,OnTrack,-192,-745,545
07:14.1,0 days 00:20:09.385000,3,543.9422222,0 days 00:05:20.164000,11192,133,3,100,FALSE,8,pos,11288.98507,0.315948019,OnTrack,-193,-753,545
